Event,Date-Time,Reason,Duration,"Duration (in mins.)","Monitor URL"
Up,"2023-08-07 18:57:47",OK,"0 hrs, 0 mins",1,https://dashboard.heroku.com/new?temp=WUU2WFZEQWk=
Started,"2023-08-07 18:57:10",Started,"0 hrs, 0 mins",1,https://dashboard.heroku.com/new?temp=WUU2WFZEQWk=
